Id,CreationDate,uri
38489829,February 2013,"http://dbpedia.org/resource/John_Gretton,_4th_Baron_Gretton"
38232366,September 2016,http://dbpedia.org/resource/John_Wheeler_(education)
38367022,January 2013,http://dbpedia.org/resource/Alfred_Giles_(explorer)
38345266,January 2013,http://dbpedia.org/resource/William_Scharff
38439907,February 2013,http://dbpedia.org/resource/Barbara_Stolz
38571482,February 2013,http://dbpedia.org/resource/Cornelis_de_Neve
38451962,February 2013,http://dbpedia.org/resource/Benjamin_Barg
38214376,January 2013,http://dbpedia.org/resource/Laremy_Tunsil
38279453,January 2013,http://dbpedia.org/resource/William_Finney
38349019,January 2013,http://dbpedia.org/resource/Jais_Nielsen
38321941,January 2013,http://dbpedia.org/resource/James_Bettauer
38300116,January 2013,http://dbpedia.org/resource/Giovanni_Guido_Agrippa
38417723,February 2013,http://dbpedia.org/resource/David_Oates
38489712,February 2013,"http://dbpedia.org/resource/John_Gretton,_3rd_Baron_Gretton"
38353314,January 2013,http://dbpedia.org/resource/Mohamed_El_Assri
38451600,February 2013,http://dbpedia.org/resource/Jos%C3%A9_Carlos_da_Silva_Mayrink_Ferr%C3%A3o
38463442,February 2013,http://dbpedia.org/resource/Pierre-Fran%C3%A7ois_Flaugergues
38525231,February 2013,http://dbpedia.org/resource/Mogens_Klitgaard
38585149,February 2013,http://dbpedia.org/resource/Yan_Junling
38223874,January 2013,http://dbpedia.org/resource/Zdenko_Vinski
38559255,February 2013,http://dbpedia.org/resource/Benjamin_Germein
38271596,January 2013,http://dbpedia.org/resource/Ashraf_Luthfy
38462709,February 2013,http://dbpedia.org/resource/Zhang_Yan_(figure_skater)
38335435,January 2013,http://dbpedia.org/resource/Jonna_Tilgner
38587266,February 2013,http://dbpedia.org/resource/Cecilia_Milow
38364887,January 2013,http://dbpedia.org/resource/Birgithe_Kosovic
38250222,January 2013,http://dbpedia.org/resource/Son_Seong-cheol
 , ,http://dbpedia.org/resource/Ash_Hollywood
38371543,January 2013,http://dbpedia.org/resource/Alisa_Ganieva
45007001,January 2015,http://dbpedia.org/resource/Howard_Fuller
38410225,February 2013,http://dbpedia.org/resource/Per_H%C3%B8jholt
38369536,January 2013,http://dbpedia.org/resource/Cameron_Roberts
38318936,January 2013,http://dbpedia.org/resource/Malik_Abrar_Ahmad
38235086,January 2013,http://dbpedia.org/resource/Tom_Hanlin
38328538,January 2013,http://dbpedia.org/resource/Charles_Spalding
38285877,January 2013,http://dbpedia.org/resource/Nick_Nanton
38284689,January 2013,http://dbpedia.org/resource/Michella_Jougousa_Gununusa
38381791,January 2013,http://dbpedia.org/resource/Soul_Khan
38388670,February 2013,http://dbpedia.org/resource/Istv%C3%A1n_Bethlen_(born_1946)
 , ,http://dbpedia.org/resource/Petty_Joy
38523304,February 2013,http://dbpedia.org/resource/Kelefa_Diallo
38234621,January 2013,http://dbpedia.org/resource/Mizuno_Rentar%C5%8D
38551614,January 2016,http://dbpedia.org/resource/Walter_Stachnik
38576963,February 2013,http://dbpedia.org/resource/Gilberto_Machado
38260468,January 2013,http://dbpedia.org/resource/Nikki_Turner
38328300,January 2013,http://dbpedia.org/resource/Alissa_Kallinikou
38229115,January 2013,http://dbpedia.org/resource/Adriana_Leon
38275359,January 2013,http://dbpedia.org/resource/Tina_Morpurgo
38395901,February 2013,http://dbpedia.org/resource/Berhaneyesus_Demerew_Souraphiel
38307820,January 2013,http://dbpedia.org/resource/Sergio_Goldvarg
38488265,February 2013,http://dbpedia.org/resource/Hideaki_Itsuno
38364088,January 2013,http://dbpedia.org/resource/Shi_Liang_(footballer)
38567607,February 2013,http://dbpedia.org/resource/Daniel_Whitehead_Hicky
38389508,February 2013,http://dbpedia.org/resource/Ben_Guez
38335606,January 2013,http://dbpedia.org/resource/Sorina_Nwachukwu
38343551,January 2013,http://dbpedia.org/resource/Brian_Caswell_(footballer)
38219641,January 2013,http://dbpedia.org/resource/Peter_Britt
38275749,January 2013,http://dbpedia.org/resource/Lars_Werdelin
38306429,January 2013,http://dbpedia.org/resource/Kaisu_Lepp%C3%A4nen
38573596,August 2006,http://dbpedia.org/resource/Jonathan_Cook
38328305,January 2013,http://dbpedia.org/resource/Maurice_Bellonte
38414969,February 2013,http://dbpedia.org/resource/Rogerio_Leichtweis
38592228,February 2013,http://dbpedia.org/resource/Wang_Shenchao
38531526,February 2013,http://dbpedia.org/resource/Zaid_Patel
38583213,February 2013,http://dbpedia.org/resource/Niels_Peter_Bolt
38219170,January 2013,http://dbpedia.org/resource/Liang_May_Seen
38469545,February 2013,http://dbpedia.org/resource/Dexter_McCoil
38489388,February 2013,http://dbpedia.org/resource/Adam_Alexander_(sportscaster)
38476876,February 2013,http://dbpedia.org/resource/Khairul_Nizam
38250673,January 2013,http://dbpedia.org/resource/John_Scarpati
38229377,January 2013,http://dbpedia.org/resource/Philip_Miles_(Indian_Army_officer)
38393674,February 2013,http://dbpedia.org/resource/Kyle_Swords
38520365,February 2013,http://dbpedia.org/resource/Liu_Weiping
38308448,January 2013,http://dbpedia.org/resource/Liz_Duffy_Adams
38228672,January 2013,http://dbpedia.org/resource/Bruno_Fuso
38301218,January 2013,http://dbpedia.org/resource/Ignatius_Sichelbart
38341605,January 2013,http://dbpedia.org/resource/Arielle_Gold
38366073,January 2013,http://dbpedia.org/resource/Zachary_Dutton
38329110,January 2013,http://dbpedia.org/resource/Jamar_Taylor
38271240,January 2013,http://dbpedia.org/resource/Emmett_Bowman
38289343,January 2013,http://dbpedia.org/resource/Bob_Kelley
38365563,January 2013,http://dbpedia.org/resource/Archibald_Hamilton_(bishop)
38398517,February 2013,http://dbpedia.org/resource/Pekka_Vesainen
38232411,January 2013,http://dbpedia.org/resource/Nematullo_Asranqulov
38337582,January 2013,http://dbpedia.org/resource/Teresa_Margolles
38320611,January 2013,http://dbpedia.org/resource/Deborah_Temkin
38501408,February 2013,http://dbpedia.org/resource/George_Hill_(chef)
38217779,January 2013,http://dbpedia.org/resource/Philip_Benedict
38308748,January 2013,http://dbpedia.org/resource/Nathalie_Carpanedo
38344141,January 2013,http://dbpedia.org/resource/Lee_Kuo-ting
38403821,February 2013,http://dbpedia.org/resource/Alexei_Soutchkov
38221795,January 2013,http://dbpedia.org/resource/Jonathan_Mann_(musician)
38278580,January 2013,http://dbpedia.org/resource/Marek_Kalivoda
38541973,February 2013,http://dbpedia.org/resource/Graham_Finlayson
38227240,January 2013,http://dbpedia.org/resource/Caryl_M._Stern
38327189,January 2013,http://dbpedia.org/resource/Helen_George
38485943,February 2013,http://dbpedia.org/resource/Arnaldo_Putzu
38522746,February 2013,http://dbpedia.org/resource/Shana_Madoff
38240600,January 2013,http://dbpedia.org/resource/Ernst_Germer
38215923,January 2013,http://dbpedia.org/resource/Nina_Lussi
38353881,January 2013,http://dbpedia.org/resource/Tamar_Zandberg
38498547,February 2013,http://dbpedia.org/resource/Paul_Marmet
38513476,February 2013,http://dbpedia.org/resource/Tin_Man_Ho
38547933,February 2013,http://dbpedia.org/resource/John_Colchin
38266113,January 2013,http://dbpedia.org/resource/David_Pendleton
38254660,January 2013,http://dbpedia.org/resource/Julyo
38450947,February 2013,http://dbpedia.org/resource/Neil_Harrison_(umpire)
38233390,January 2013,http://dbpedia.org/resource/Jonny_Lattimer
38282927,January 2013,http://dbpedia.org/resource/Leonard_Mapfumo
