Year,Month,Tile,Id,Gender
2013,December,Jonathan Joestar,6254166,male
2013,December,Josuke Higashikata,6690119,male
2013,December,Henry J. Hendrix,41201182,male
2013,December,Teresa McGovern,11663836,female
2013,December,Cristina Patwa,37430280,female
2013,December,Ronald Hunter,41325402,male
2013,December,Russell Jones (orientalist),40971989,male
2013,December,Bappi Lahiri,4125379,male
2013,December,James Dubro,20931565,male
2013,December,Miku Matsumoto,41644591,female
2013,December,Cat Zingano,37210758,female
2013,December,Swami_Nithyananda,26788390,male
2013,December,Patrick Carr,5168086,male
2013,December,Corine Christensen,10417379,female
2013,December,Diana Falzone,48061001,female
2013,December,Grady Hall,41323507,male
2013,December,Kurt Caselli,41261325,male
2013,December,Ignazio Ciufolini,39868218,male
2013,December,Adrienna Jenkins,47788186,female
2013,December,Kelly Dulfer,41315391,female
2013,December,Scott Johnston,50243196,male
2013,December,Penn Kimball,41045292,male
2013,December,Alexandru Popp,41062739,male
2013,December,Monica Larner,40480477,female
2013,December,Kyle Davis (actor),36530354,male
2013,December,Benjamin T. Orifici,41144485,male
2013,December,Anisha Ambrose,40276446,female
2013,December,Turiya Hanover,26483987,female
2013,December,Florin Curta,26827082,male
2013,December,Jennifer Cella,8563866,female
2013,December,Alain Sylvestre,18514872,male
2013,December,Sean Wright,19464429,male
2013,December,Cheryl Youakim,47882911,female
2013,December,Bailey Pickett,18943287,female
2013,December,Jaime Augusto Zobel,4343587,male
2013,December,John Michael Greer,45167061,male
2013,December,Victoria Garchitorena,41274170,female
2013,December,John Diamond (doctor),23512891,male
2013,December,Criticism of Banda Singh Bahadur,38851296,male
2013,December,Paul Worsteling,40158809,male
2013,December,Ricky Martinez,22137862,male
2013,December,Wynne LeGrow,28714339,male
2013,December,John Trenwith,38396005,male
2013,December,Arthur R. Thompson,14415277,male
2013,December,Harcourt Clare,28140101,male
2013,December,Ron Parker,33424909,male
2013,December,Ulla Jones discography and filmography,2458745,female
2013,December,Mattias Svensson,14736492,male
2013,December,"Robert J. Davies, Cwrtmawr",41283220,male
2013,December,Lucy Kenwright,8224190,female
2013,December,Alicia Douvall,31866129,female
2013,December,Chih-Kong Ken Yang,40986121,male
2013,December,Peter L. Corsell,41143652,male
2013,December,Mohit Malhotra,37278613,male
2013,December,L.W. Hodge,41428823,male
2013,December,Rolf Dinsdale,4526887,male
2013,December,Gregory Hodge,41269169,male
2013,December,Tommie Barfield,41265480,female
2013,December,William Drummond Matheson,24423982,male
2013,December,To the Unknown Land,3155397,male
2013,December,Death of Paul Walker,244932,male
2013,December,Holly Carter,22378697,female
2013,December,Patrick Borchers,40055384,male
2013,December,Matt Sherman,41555161,male
2013,December,Rena Koh,37442760,female
2013,December,Linas Klimavičius,48204197,male
2013,December,Susan RoAne,40480447,female
2013,December,Michael Winkler,14299040,male
2013,December,Richard Harrow,41072863,male
2013,December,Pat Sheahan (publican),40944037,male
2013,December,Jedediah Bila,42718195,female
2013,December,Davide Giannoni,37488495,male
2013,December,Chumlee,38631296,male
2013,December,Razak Al-Hassan,46937728,male
2013,December,Chase Gormley,50297003,male
2013,December,Jill Tuck,17115360,female
2013,December,Pallavi (actress),19284650,female
2013,December,Sarah Wilson (dog trainer),41240650,female
2013,December,Nancy Todd,41597516,female
2013,December,Zeratul,1260721,male
2013,December,Alvin Achenbaum,40968296,male
2013,December,Omari Akhmedov,41041143,male
2013,December,Brad S. Karp,22052051,male
2013,November,Ari Brynjolfsson,41232609,male
2013,November,Emmsjé Gauti,41222037,male
2013,November,Mary Corleone,1626019,female
2013,November,Michael H. Payne,7549442,male
2013,November,Jesse Garon Presley,9288,male
2013,November,Kim Khan Zaki,18099763,male
2013,November,William E. Badgley,41037095,male
2013,November,Mithun Murali,41078891,male
2013,November,Mike Spencer Bown,41055903,male
2013,November,Natalie Holland,24090048,female
2013,November,Robin Spielberg,27850888,female
2013,November,Kate Robinson (figure skater),39496480,female
2013,November,Chris Achilleos,3093718,male
2013,November,Jack Daws,40874213,male
2013,November,Tjaša Iris,39902171,female
2013,November,Annie A-Bomb,25910308,female
2013,November,Bill Scholl,41211327,male
2013,November,Marlise Keith,5445718,female
2013,November,Zack Martin,38935104,male
2013,November,Hideyuki Akaza,40945076,male
2013,November,Ryan Benoit,45618411,male
2013,November,James McKinley Hargreaves,28329635,male
2013,November,Edward Bonham Carter,4307984,male
2013,November,John Russell (aviator),24466622,male
2013,November,James Victor Gascoyne,24360129,male
2013,November,Arthur William Hammond,24381039,male
2013,November,Filmography of Jennifer Lawrence,12684530,female
2013,November,Heidi Arena,18170611,female
2013,November,Bill Meyer (artist),9778215,male
2013,November,Frank Cannella,38097206,male
2013,November,Randall Kaplan,30407084,male
2013,November,Antonio Nardini,41049628,male
2013,November,Rome Dela Rosa,47678603,male
2013,November,Hugo Jamioy Juagibioy,41614243,male
2013,November,Prince Ernst August of Hanover (born 1983),5024569,male
2013,November,"Alexandra, Princess of Leiningen",18438401,female
2013,November,Prince Georg of Hanover,18101063,male
2013,November,Princess Friederike of Hanover,18454098,female
2013,November,Prince Franz Wilhelm of Prussia,11631482,male
2013,November,Nicole Eisenman,39321454,female
2013,November,Nicole Eisenman,39321454,female
2013,November,Lars Boilesen,40857948,male
2013,November,Tyler Matakevich,48645136,male
2013,November,Yuki Sato (actor),8323443,male
2013,November,Jesse Sanders,40345811,male
2013,November,Steve Collins (baseball),12491944,male
2013,November,George Hosking,24770581,male
2013,November,Mohizam Shah Dawood Shah,32168238,male
2013,November,Jason Mercury,40390297,male
2013,November,Waldemar Zboralski,40674734,male
2013,November,Stephen Taylor (academic),10217379,male
2013,November,Mark Pearson (entrepreneur),37918274,male
2013,November,David Denby,5752370,male
2013,November,Gholam hossein Davani,41166448,male
2013,November,Domnina (daughter of Nero),40894896,female
2013,November,Marco Granados,47360669,male
2013,November,Yandi Munawar,45533083,male
2013,November,Tamara Kučan,37747670,female
2013,November,Or Taragan,41165961,male
2013,November,Grey DeLisle,1094567,female
2013,November,Sunday Omony,33729647,female
2013,November,Madars Razma,39714511,male
2013,November,Jim Coughlan,40459282,male
2013,November,"Bright Lights, Dark Places (book)",41120694,female
2013,November,The Kidd Creole,41229777,male
2013,November,Mission Rejected,32460699,male
2013,November,Jay Clough,32980890,male
2013,November,Ben Habern,27259124,male
2013,November,John Patterson (Auckland politician),36652381,male
2013,November,Jared Rosholt,31976586,male
2013,November,Mornin' Sun,13269162,male
2013,November,Kęstutis Smirnovas,34060850,male
2013,November,Sartorias-deles,1482662,female
2013,November,Christian de la Campa,44158587,male
2013,November,Larry L. Richman,8684095,male
2013,November,Samuel Castillejo,43696186,male
2013,November,Adam Shulman,604244,female
2013,November,Carl Andrew Capasso,19820344,male
2013,November,Robert Gruenberg,32855053,male
2013,November,Abner Carroll Binder,32681603,male
2013,November,Hólmbert Aron Friðjónsson,43825819,male
2013,November,Dave Armstrong (Catholic apologist),37199589,male
2013,November,Tim Etchells,4149992,male
2013,November,Jennifer Barnes,23251341,female
2013,November,Brooklyn Beckham,8618,male
2013,November,Daniel Rosenfeld,44409230,male
2013,November,Baser Amer,47601625,male
2013,November,Nate Hill (artist),27510702,male
2013,November,Lee Gregory (footballer),40732978,male
2013,November,Brian Tyler (actor),41193899,male
2013,November,Clarence Jey,41428490,male
2013,November,Tom O'Carroll,2099086,male
2013,November,Jason Desmond Anthony Brooke,40991634,male
2013,November,Delphine Courtney,10044207,female
2013,November,Raising of the son of the woman of Shunem,40887843,male
2013,November,Christopher Cullen,38473968,male
2013,November,Kalil Wilson,25990947,male
2013,November,Nicholas Mevoli,41115039,male
2013,November,Elly Akira,41046143,female
2013,November,Michael Glyn Brown,33813152,male
2013,November,James Sokolove,18007768,male
2013,November,David Bednar,40410465,male
2013,November,Herman Benjamin,41111575,male
2013,November,Smokin Jo,40919932,female
2013,November,Kendall Gaskins,39866788,male
2013,November,Shyam Goel,7113134,male
2013,November,Justin Clark,36293993,male
2013,November,Adithya Srinivasan,42871572,male
2013,November,Mozid Mahmud,40961991,male
2013,November,Jan Gissberg,21231733,male
