Year,Month,Tile,Id,Gender
2012,December,Jennifer Graylock,38040219,female
2012,December,Bernard Kleiman,13569022,male
2012,December,70 Golden Nursery Rhymes,1677941,female
2012,December,Heather McCartney,1562424,female
2012,December,Emma Degerstedt,38071686,female
2012,December,Jan Jananayagam,23098513,male
2012,December,Karl Denninger,38011459,male
2012,December,Astro (rapper),41338151,male
2012,December,Victoria Leigh Soto,37980996,female
2012,December,Riin Tamm,37918504,female
2012,December,Sonny Parsons,38065446,male
2012,December,Yukio Kawabe,33977584,male
2012,December,Gribouille,562642,female
2012,December,The WASP Question,4036394,male
2012,December,Sherrie Rose,39394031,female
2012,December,Moshe Friedman,8386791,male
2012,December,Kevin Dawson (Irish footballer),38175701,male
2012,December,Karnendu Bhattacharjee,12395750,male
2012,December,Bright Light Bright Light,36797330,male
2012,December,Valērijs Šabala,39644292,male
2012,December,Tom Christiansen,38056217,male
2012,December,Chris Bascombe,24440081,male
2012,December,Antonio McKee,9753416,male
2012,December,Joni Eareckson Tada,3669685,female
2012,December,Michael J. Easley,4720613,male
2012,December,Paul Carter (songwriter),37672862,male
2012,December,Lizzie Phelan,33472349,female
2012,December,Ivaylo Chochev,38770944,male
2012,December,Bobby Friction,5355586,male
2012,December,Aleksandar Kolev,43473828,male
2012,December,Ulrich Ellison,48568240,male
2012,December,Jason Geria,38895122,male
2012,December,Bill Ellis,35901420,male
2012,December,Harry Dunn,38241554,male
2012,December,Dustin Jacoby,43983148,male
2012,December,Jennifer Horn,37199401,female
2012,December,Carol Resnick,417548,male
2012,December,Varalaxmi Sarathkumar,37598297,female
2012,December,Annabeth Chase,38111916,female
2012,December,Giovanni Battista Armenini,37767590,male
2012,December,Erik Pochanski,51076779,male
2012,December,Josh Weston,38034020,male
2012,December,Winter (Starbucks),22933429,male
2012,December,Robbie Willmott,34802387,male
2012,December,Coles Whalen,29021569,female
2012,December,Andrew Soltis,1516944,male
2012,December,Chip Coffey,24759913,male
2012,December,Superstar Santhosh Pandit,33840854,male
2012,December,Pierre Bonhomme,47287175,male
2012,December,Pegah Anvarian,7209023,female
2012,December,Geoff Ramsey,3485011,male
2012,December,Josh Ferguson,50429741,male
2012,December,Alex Soto,46406155,male
2012,December,Allu Sirish,38077846,male
2012,December,KUBA Ka,37732735,male
2012,December,Prince Pedro Luís of Orléans-Braganza,8270204,male
2012,December,Raphael Tenthani,37832204,male
2012,December,Amram Aburabeh,37827433,male
2012,December,Michael Kelso,1931947,male
2012,December,Geoff Ramsey,3485011,male
2012,December,LeRoy Bell,33470818,male
2012,December,Jeffrey A. Hutchings,37874420,male
2012,December,Lamar Joseph Conner,37963950,male
2012,December,Oddjob's hat,316284,male
2012,December,Francis Stokes,6326759,male
2012,December,Pinhas Kopel,36028023,male
2012,December,Elijah Ari,42658658,male
2012,December,Rancore,35888494,male
2012,December,Atazhuko Adil-Giray,37748517,male
2012,December,Marcy Levy Band,1135138,female
2012,December,Tom Stienstra,26805130,male
2012,December,Jess McAvoy,18324763,female
2012,December,Minimolude Achan,33840854,male
2012,December,Fariba Ahmedi,26021378,female
2012,December,Ruqayyah Boyer,37047324,female
2012,December,Andrea Canning,31138720,female
2012,December,Patrik Twardzik,42783629,male
2012,December,Haris Tarin,37620865,male
2012,December,Joel Gilbert,37998097,male
2012,December,Robb Alvey,38025005,male
2012,December,Mike Ricci (fighter),37925109,male
2012,December,Pierre-Alexis Dumas,37917046,male
2012,December,Meg Myers,37926333,female
2012,December,Herzl family,8233758,male
2012,December,Helga Pataki,322211,female
2012,December,Fatih Kocamis,33967279,male
2012,December,Gyula J. Obádovics,24643074,male
2012,December,Abby Martin,37915159,female
2012,December,Brad Troemel,33071613,male
2012,December,Sako Chivitchian,28247405,male
2012,December,Anne-Marie Minhall,34087208,female
2012,December,Mobi Fehr,51734970,male
2012,December,Pui Chan,37039996,male
2012,December,Simon son of Boethus,37951451,male
